ID,NAME,ADDR,X,Y,T_CNT,T_M_CNT,T_F_CNT,S_CNT,S_M_CNT,S_F_CNT,C_CNT,L1_C_CNT,L2_C_CNT,L3_C_CNT,STU_CNT,STU_M_CNT,STU_F_CNT,L1_STU_M_CNT,L1_STU_F_CNT,L2_STU_M_CNT,L2_STU_F_CNT,L3_STU_M_CNT,L3_STU_F_CNT,G_STU_CNT,G_STU_M_CNT,G_STU_F_CNT,NA_STU_CNT,NA_STU_M_CNT,NA_STU_F_CNT,SL_AREA,SB_AREA,AU_CNT,AU_AREA,CR_CNT,CR_AREA,INFO_TIME
識別碼,名稱,地址,X坐標,Y坐標,國中專任教師數,國中男專任教師數,國中女專任教師數,國中職員數,國中男職員數,國中女職員數,國中班級數,國中一年級班級數,國中二年級班級數,國中三年級班級數,國中學生數,國中男學生數,國中女學生數,國中一年級男學生數,國中一年級女學生數,國中二年級男學生數,國中二年級女學生數,國中三年級男學生數,國中三年級女學生數,國中上學年畢業生數,國中上學年男畢業生數,國中上學年女畢業生數,國中原住民學生數,國中男原住民學生數,國中女原住民學生數,國中校地面積,國中校舍面積,國中禮堂座數,國中禮堂面積,國中教室間數,國中教室面積,資料時間
64516,市立梧棲國中,[435]臺中市梧棲區文化里民生街12號,202559.046,2683067.419,58,24,34,8,3,5,23,7,8,8,421,236,185,92,72,72,52,72,61,160,68,92,28,12,16,33437,10409,1,0,53,0,112Y
64517,市立龍井國中,[434]臺中市龍井區觀光路9號,203628.96,2676352.16,43,13,30,7,2,5,16,5,6,5,363,213,150,59,49,77,55,77,46,156,87,69,19,12,7,25664,8787,1,0,33,0,112Y
64518,市立四箴國中,[434]臺中市龍井區新庄里中沙路2號,206973.25,2674962.16,66,14,52,8,2,6,25,8,8,9,576,309,267,99,88,83,79,127,100,172,91,81,54,30,24,42069,12871,1,0,41,0,112Y
64519,市立大道國中,[432]臺中市大肚區仁德路60號,204301.019,2671327.153,85,24,61,8,2,6,32,9,11,12,661,347,314,113,94,109,100,125,120,261,131,130,26,12,14,40583,10678,0,0,61,0,112Y
64520,市立烏日國中,[414]臺中市烏日區新興路457號,211100.473,2666667.397,33,10,23,5,0,5,13,4,5,4,295,157,138,44,43,53,48,60,47,95,50,45,19,10,9,35918,9274,0,0,30,0,112Y
64521,市立溪南國中,[414]臺中市烏日區溪南路一段731號,213815.918,2662992.167,26,10,16,6,3,3,11,3,4,4,181,100,81,34,31,27,25,39,25,83,46,37,2,1,1,23518,4004,0,0,29,0,112Y
64522,市立霧峰國中,[413]臺中市霧峰區國中路110號,218399.568,2662503.429,38,13,25,8,1,7,15,5,5,5,221,116,105,42,36,27,32,47,37,91,37,54,13,6,7,24679,11775,1,0,41,0,112Y
64523,市立光復國中(小),[413]臺中市霧峰區南柳里柳豐路535號,218390.716,2659914.51,75,29,46,10,3,7,30,10,10,10,823,439,384,163,145,129,110,147,129,274,149,125,23,19,4,53365,13145,0,0,54,0,112Y
64525,市立太平國中,[411]臺中市太平區中山路二段116號,223033.49,2671474.62,78,24,54,8,1,7,30,10,10,10,643,354,289,127,97,88,79,139,113,258,128,130,28,16,12,55684,24899,1,0,65,0,112Y
64526,市立中平國中,[411]臺中市太平區中平里太平路300號,221363.82,2668681.39,77,27,50,8,2,6,28,9,8,11,606,310,296,116,112,104,83,90,101,213,125,88,30,16,14,19401,22360,1,0,72,0,112Y
64527,市立石岡國中,[422]臺中市石岡區梅子里豐勢路國中巷1號,229366.918,2684711.31,39,12,27,8,3,5,12,3,5,4,191,103,88,28,29,38,24,37,35,99,58,41,5,4,1,25406,9200,1,0,27,0,112Y
64529,市立東勢國中,[423]臺中市東勢區東崎路五段415號,232974.748,2682797.856,88,28,60,8,2,6,35,10,13,12,730,363,367,105,120,112,131,146,116,307,150,157,63,32,31,20681,22933,1,0,86,0,112Y
64530,市立東華國中,[423]臺中市東勢區東關路五段500號,233861.701,2677681.759,28,14,14,5,3,2,8,2,3,3,109,53,56,19,21,21,14,13,21,35,15,20,10,6,4,18295,2913,0,0,17,0,112Y
64531,市立東新國中,[423]臺中市東勢區東新里5鄰東環街123號,232709.184,2684148.841,31,10,21,7,4,3,9,3,3,3,64,33,31,13,10,9,7,11,14,40,26,14,4,2,2,14033,3518,0,0,19,0,112Y
